timestamp,indication_counter,latency_us,ue1_ngap_id,ue1_ran_ue_id,ue1_prb_dl,ue1_prb_ul,ue1_pdcp_dl_kb,ue1_pdcp_ul_kb,ue1_delay_us,ue1_thp_dl_kbps,ue1_thp_ul_kbps,ue1_is_burst,ue1_prb_allocation,ue2_ngap_id,ue2_ran_ue_id,ue2_prb_dl,ue2_prb_ul,ue2_pdcp_dl_kb,ue2_pdcp_ul_kb,ue2_delay_us,ue2_thp_dl_kbps,ue2_thp_ul_kbps,ue2_is_burst,ue2_prb_allocation,rc_drb_id,rc_qfi,rc_mapping_ind
1.76159E+15,181,1.76159E+15,21,1,170,9114,3,2093,0,4.34,2105.68,0,25,22,2,150,16562,3,8032,73,4.18,8076.09,0,96,5,9,1
1.76159E+15,182,1.76159E+15,21,1,195,8946,3,2034,644,4.39,2058.77,0,24,22,2,165,16672,3,8304,447,4.25,8347.82,0,100,5,9,1
1.76159E+15,183,1.76159E+15,21,1,175,8652,2,1986,0,3.6,1988.58,0,23,22,2,140,16496,2,7961,0,3.46,8003.67,0,96,5,9,1
1.76159E+15,184,1.76159E+15,21,1,175,9130,4,2105,622,5.02,2117.66,0,25,22,2,160,15948,3,8209,0,4.22,8244.8,0,98,5,9,1
1.76159E+15,185,1.76159E+15,21,1,185,8661,3,1987,603,4.34,2000.24,0,24,22,2,155,17363,4,8116,468,4.92,8168.1,0,98,5,9,1
1.76159E+15,186,1.76159E+15,21,1,170,9236,3,2093,614,4.32,2105.74,0,25,22,2,155,16417,2,8185,0,3.53,8220.26,0,98,5,9,1
1.76159E+15,187,1.76159E+15,21,1,170,8764,2,2010,0,3.58,2022.68,0,24,22,2,155,16985,3,8257,0,4.22,8312.38,0,99,5,9,1
1.76159E+15,188,1.76159E+15,21,1,175,8862,3,2034,0,4.32,2047.15,0,24,22,2,165,15570,3,7938,308,4.25,7970.6,0,95,5,9,1
1.76159E+15,189,1.76159E+15,21,1,185,8915,3,2081,0,4.37,2094.46,0,25,22,2,140,16548,3,8268,44,4.18,8312.78,0,99,5,9,1
1.76159E+15,190,1.76159E+15,21,1,180,8569,3,1987,677,4.32,2000.32,0,24,22,2,160,15962,3,8292,785,4.22,8335.48,0,100,5,9,1
1.76159E+15,191,1.76159E+15,21,1,180,9232,3,2034,140,4.32,2048.05,0,24,22,2,170,11806,11,6532,607,12.94,6575.36,0,78,5,9,1
1.76159E+15,192,1.76159E+15,21,1,185,8738,3,2105,752,4.39,2121.88,0,25,22,2,170,28059,3,16180,701,4.3,16259.3,1,106,6,4,1
1.76159E+15,193,1.76159E+15,21,1,180,8871,3,1998,205,4.32,2006.02,0,24,22,2,175,27547,3,16345,255,4.3,16431.18,1,106,6,4,1
1.76159E+15,194,1.76159E+15,21,1,175,8892,3,2034,592,4.32,2047.03,0,24,22,2,170,27740,3,16357,1119,4.3,16443.79,1,106,6,4,1
1.76159E+15,195,1.76159E+15,21,1,180,8926,3,2069,0,4.34,2082.56,0,24,22,2,180,27659,3,16239,320,4.32,16327.32,1,106,6,4,1
1.76159E+15,196,1.76159E+15,21,1,185,8559,3,1998,0,4.34,2012.14,0,24,22,2,175,28027,3,16404,117,4.3,16495.66,1,106,6,4,1
1.76159E+15,197,1.76159E+15,21,1,185,8793,3,2057,0,4.37,2069.83,0,24,22,2,170,27958,3,16262,591,4.3,16347.7,1,106,6,4,1
1.76159E+15,198,1.76159E+15,21,1,185,8854,3,2057,0,4.37,2070.66,0,24,22,2,175,27898,3,16310,444,4.3,16391.63,1,106,6,4,1
1.76159E+15,199,1.76159E+15,21,1,180,9249,3,2081,0,4.34,2094.66,0,25,22,2,175,27434,3,16333,0,4.3,16426.56,1,106,6,4,1
1.76159E+15,200,1.76159E+15,21,1,170,8818,1,2008,0,2.21,2021.13,0,24,22,2,155,20178,6,11732,214,7.22,11785.27,0,106,5,9,1
1.76159E+15,201,1.76159E+15,21,1,90,2472,4,549,0,5.5,553.06,0,6,22,2,5,40,0,0,0,0,0.02,0,0,5,9,1
1.76159E+15,202,1.76159E+15,21,1,5,35,0,0,0,0,0,0,0,22,2,5,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,203,1.76159E+15,21,1,5,35,0,0,0,0,0,0,0,22,2,0,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,204,1.76159E+15,21,1,0,35,0,0,0,0,0,0,0,22,2,5,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,205,1.76159E+15,21,1,5,35,0,0,0,0,0,0,0,22,2,5,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,206,1.76159E+15,21,1,5,35,0,0,0,0,0,0,0,22,2,5,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,207,1.76159E+15,21,1,0,35,0,0,0,0,0,0,0,22,2,0,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,208,1.76159E+15,21,1,5,35,0,0,0,0,0,0,0,22,2,5,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,209,1.76159E+15,21,1,5,40,0,0,0,0,0,0,0,22,2,5,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,210,1.76159E+15,21,1,5,35,0,0,0,0,0,0,0,22,2,0,35,0,0,0,0,0,0,0,5,9,1
1.76159E+15,211,1.76159E+15,21,1,0,30,0,0,0,0,0,0,0,22,2,5,35,0,0,0,0,0,0,0,5,9,1
